Folio,Cierre Esperado,Pagos Esperados,Pagos Realizados,Pagos Cubiertos,Avance Esperado,Avance Cumplido,Diferencia,Riesgo
766,0,1,1,100 %,0 %,0 %,"0,0 %",Ninguno
767,0,1,1,100 %,0 %,0 %,"0,0 %",Ninguno
769,0,1,1,100 %,0 %,0 %,"0,0 %",Ninguno
772,0,1,1,100 %,0 %,0 %,"0,0 %",Ninguno
644,0,37,34,92 %,84 %,80 %,"-0,1 %",Ninguno
603,0,38,36,95 %,86 %,85 %,"-0,1 %",Ninguno
601,0,34,30,88 %,77 %,76 %,"-0,1 %",Ninguno
544,0,38,36,95 %,86 %,87 %,"-0,1 %",Ninguno
604,0,23,22,96 %,85 %,83 %,"-0,1 %",Ninguno
46,0,17,14,82 %,46 %,45 %,"-0,2 %",Ninguno
430,0,16,13,81 %,35 %,35 %,"-0,2 %",Ninguno
621,0,26,23,88 %,71 %,71 %,"-0,3 %",Ninguno
610,0,26,25,96 %,58 %,59 %,"-0,5 %",Ninguno
585,0,21,20,95 %,57 %,57 %,"-0,5 %",Ninguno
571,0,26,23,88 %,58 %,58 %,"-0,6 %",Ninguno
594,0,26,24,92 %,58 %,57 %,"-0,6 %",Ninguno
697,0,10,9,90 %,60 %,62 %,"-0,7 %",Ninguno
625,0,20,17,85 %,44 %,45 %,"-0,7 %",Ninguno
626,0,20,17,85 %,44 %,45 %,"-0,7 %",Ninguno
591,0,21,20,95 %,47 %,47 %,"-0,7 %",Ninguno
584,0,24,22,92 %,53 %,51 %,"-0,7 %",Ninguno
732,0,5,4,80 %,9 %,8 %,"-1,0 %",Ninguno
664,0,12,11,92 %,26 %,25 %,"-1,5 %",Ninguno
711,0,8,7,88 %,20 %,19 %,"-1,7 %",Ninguno
688,0,10,9,90 %,21 %,22 %,"-1,7 %",Ninguno
713,0,8,7,88 %,16 %,15 %,"-1,9 %",Ninguno
