Folio,Cierre Esperado,Pagos Esperados,Pagos Realizados,Pagos Cubiertos,Avance Esperado,Avance Cumplido,Diferencia,Riesgo
711,0,8,7,88 %,20 %,19 %,"-33,3 %",Ninguno
650,1,16,16,100 %,100 %,169 %,"-34,3 %",Ninguno
558,0,12,12,100 %,31 %,32 %,"-34,5 %",Ninguno
673,1,16,14,88 %,100 %,182 %,"-34,7 %",Ninguno
732,0,5,4,80 %,9 %,8 %,"-34,9 %",Ninguno
688,0,10,9,90 %,21 %,22 %,"-34,9 %",Ninguno
717,0,14,14,100 %,30 %,30 %,"-34,9 %",Ninguno
713,0,8,7,88 %,16 %,15 %,"-35,1 %",Ninguno
698,0,10,10,100 %,21 %,21 %,"-39,5 %",Ninguno
680,0,8,8,100 %,20 %,20 %,"-40,2 %",Ninguno
720,0,7,7,100 %,17 %,17 %,"-41,4 %",Ninguno
707,0,8,8,100 %,16 %,17 %,"-42,2 %",Ninguno
762,0,2,2,100 %,7 %,0 %,"-43,3 %",Ninguno
734,0,5,5,100 %,9 %,9 %,"-45,0 %",Ninguno
727,0,5,5,100 %,9 %,9 %,"-45,3 %",Ninguno
749,0,2,2,100 %,2 %,1 %,"-48,3 %",Ninguno
182,1,16,16,100 %,100 %,197 %,"-48,6 %",Ninguno
752,0,2,2,100 %,2 %,2 %,"-48,8 %",Ninguno
751,0,2,2,100 %,2 %,3 %,"-49,0 %",Ninguno
568,1,19,19,100 %,100 %,198 %,"-49,2 %",Ninguno
763,0,1,1,100 %,0 %,0 %,"-50,0 %",Ninguno
764,0,1,1,100 %,0 %,0 %,"-50,0 %",Ninguno
766,0,1,1,100 %,0 %,0 %,"-50,0 %",Ninguno
767,0,1,1,100 %,0 %,0 %,"-50,0 %",Ninguno
769,0,1,1,100 %,0 %,0 %,"-50,0 %",Ninguno
772,0,1,1,100 %,0 %,0 %,"-50,0 %",Ninguno
589,1,44,44,100 %,100 %,201 %,"-50,5 %",Ninguno
334,1,16,16,100 %,100 %,228 %,"-63,8 %",Ninguno
634,1,16,14,88 %,100 %,249 %,"-68,0 %",Ninguno
665,1,25,17,68 %,100 %,268 %,"-68,2 %",Ninguno
654,1,16,15,94 %,100 %,461 %,"-177,4 %",Ninguno
